interval,min,max
0,-2139095040.0,2121924607.9999998
1,-2122186752.0000002,2138963968.0000002
2,-2105409536.0000002,2139029504.0
3,-2122383360.0,2122055680.0
4,-2138963968.0000002,2122055680.0
5,-2122055680.0,2122186752.0000002
6,-2088370175.9999998,2138701823.9999998
7,-2139095040.0,2121924607.9999998
8,-2122121216.0,2139095040.0
9,-2105540608.0,2122121216.0
