interval,min,max
0,-393216.0,196608.0
1,-131072.0,262144.0
2,65536.0,458752.0
3,-65536.0,327680.0
4,196608.0,393216.0
5,131072.0,589824.0
6,65536.0,655360.0
7,131072.0,655360.0
8,131072.0,589824.0
9,65536.0,720896.0
