interval,min,max
0,-786432.0,3866624.0
1,2555904.0,4980736.0
2,-2818048.0,2686976.0
3,-2555904.0,131072.0
4,-2555904.0,3670016.0
5,65536.0,2752512.0
6,983040.0,5767168.0
7,-1245184.0,2818048.0
8,-1572864.0,4259840.0
9,-65536.0,5505024.0
